name,episode,link,pic,season,genre,rank
Chihayafuru 3,24,https://myanimelist.net/anime/37379/Chihayafuru_3,https://cdn.myanimelist.net/images/anime/1898/110709.jpg,Fall 2019,Game Slice of Life Sports Drama School Josei,113
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,1,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu,https://cdn.myanimelist.net/images/anime/1129/117109.jpg,OVA ONA SPECIAL,Adventure Comedy Parody Supernatural Fantasy,114
Mo Dao Zu Shi,15,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi,https://cdn.myanimelist.net/images/anime/1253/93893.jpg,OVA ONA SPECIAL,Action Adventure Mystery Historical Supernatural,115
Nana,47,https://myanimelist.net/anime/877/Nana,https://cdn.myanimelist.net/images/anime/2/11232.jpg,Spring 2006,Music Slice of Life Comedy Drama Romance Shoujo,116
Shingeki no Kyojin Season 2,12,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,https://cdn.myanimelist.net/images/anime/4/84177.jpg,Spring 2017,Action Military Mystery Super Power Drama Fantasy Shounen,117
Saenai Heroine no Sodatekata Fine,1,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine,https://cdn.myanimelist.net/images/anime/1671/111411.jpg,OVA ONA SPECIAL,Harem Comedy Romance Ecchi School,118
Zoku Owarimonogatari,6,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari,https://cdn.myanimelist.net/images/anime/1022/96168.jpg,OVA ONA SPECIAL,Mystery Comedy Supernatural Vampire,119
Holo no Graffiti,?,https://myanimelist.net/anime/44042/Holo_no_Graffiti,https://cdn.myanimelist.net/images/anime/1259/110227.jpg,OVA ONA SPECIAL,Comedy,120
Mob Psycho 100,12,https://myanimelist.net/anime/32182/Mob_Psycho_100,https://cdn.myanimelist.net/images/anime/8/80356.jpg,Summer 2016,Action Slice of Life Comedy Supernatural,121
Haikyuu!!,25,https://myanimelist.net/anime/20583/Haikyuu,https://cdn.myanimelist.net/images/anime/7/76014.jpg,Spring 2014,Comedy Sports Drama School Shounen,122
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,1,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu,https://cdn.myanimelist.net/images/anime/3/50317.jpg,OVA ONA SPECIAL,Sci-Fi Drama,123
Nichijou,26,https://myanimelist.net/anime/10165/Nichijou,https://cdn.myanimelist.net/images/anime/3/75617.jpg,Spring 2011,Slice of Life Comedy School Shounen,124
