name,episode,link,pic,season,genre,rank
High School DxD New,12,https://myanimelist.net/anime/15451/High_School_DxD_New,https://cdn.myanimelist.net/images/anime/12/47729.jpg,Summer 2013,Action Harem Comedy Demons Romance Ecchi School,1597
Overlord II,13,https://myanimelist.net/anime/35073/Overlord_II,https://cdn.myanimelist.net/images/anime/1212/113415.jpg,Winter 2018,Action Game Adventure Supernatural Magic Fantasy,923
Hellsing Ultimate,10,https://myanimelist.net/anime/777/Hellsing_Ultimate,https://cdn.myanimelist.net/images/anime/6/7333.jpg,OVA ONA SPECIAL,Action Military Horror Supernatural Vampire Seinen,168
Rakudai Kishi no Cavalry,12,https://myanimelist.net/anime/30296/Rakudai_Kishi_no_Cavalry,https://cdn.myanimelist.net/images/anime/9/76493.jpg,Fall 2015,Action Romance Ecchi Fantasy School,1637
Btooom!,12,https://myanimelist.net/anime/14345/Btooom,https://cdn.myanimelist.net/images/anime/4/40977.jpg,Fall 2012,Action Sci-Fi Psychological Seinen,2185
Magi: The Kingdom of Magic,25,https://myanimelist.net/anime/18115/Magi__The_Kingdom_of_Magic,https://cdn.myanimelist.net/images/anime/13/55039.jpg,Fall 2013,Action Adventure Magic Fantasy Shounen,270
Kekkai Sensen,12,https://myanimelist.net/anime/24439/Kekkai_Sensen,https://cdn.myanimelist.net/images/anime/12/73559.jpg,Spring 2015,Action Comedy SuperPower Supernatural Vampire Fantasy Shounen,1226
Zero no Tsukaima,13,https://myanimelist.net/anime/1195/Zero_no_Tsukaima,https://cdn.myanimelist.net/images/anime/8/20680.jpg,Summer 2006,Action Adventure Harem Comedy Magic Romance Ecchi Fantasy School,2510
Youjo Senki,12,https://myanimelist.net/anime/32615/Youjo_Senki,https://cdn.myanimelist.net/images/anime/5/82890.jpg,Winter 2017,Action Military Magic,579
Fate/stay night: Unlimited Blade Works 2nd Season,13,https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season,https://cdn.myanimelist.net/images/anime/11/72863.jpg,Spring 2015,Action Fantasy Magic Supernatural,203
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,39,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,https://cdn.myanimelist.net/images/anime/1572/95010.jpg,Fall 2018,Action Adventure Shounen,69
Boku no Hero Academia 5th Season,25,https://myanimelist.net/anime/41587/Boku_no_Hero_Academia_5th_Season,https://cdn.myanimelist.net/images/anime/1911/113611.jpg,Spring 2021,Action Comedy SuperPower School Shounen,1543
Toaru Majutsu no Index,24,https://myanimelist.net/anime/4654/Toaru_Majutsu_no_Index,https://cdn.myanimelist.net/images/anime/2/75533.jpg,Fall 2008,Action Magic Sci-Fi SuperPower,1973
Trinity Seven,12,https://myanimelist.net/anime/25157/Trinity_Seven,https://cdn.myanimelist.net/images/anime/12/67795.jpg,Fall 2014,Action Harem Comedy Supernatural Magic Romance Ecchi Fantasy School Shounen,3269
Akatsuki no Yona,24,https://myanimelist.net/anime/25013/Akatsuki_no_Yona,https://cdn.myanimelist.net/images/anime/9/64225.jpg,Fall 2014,Action Adventure Comedy Fantasy Romance Shoujo,495
FLCL,6,https://myanimelist.net/anime/227/FLCL,https://cdn.myanimelist.net/images/anime/7/77356.jpg,OVA ONA SPECIAL,Action Sci-Fi Comedy Parody Dementia Psychological Mecha,518
Kami no Tou,13,https://myanimelist.net/anime/40221/Kami_no_Tou,https://cdn.myanimelist.net/images/anime/1702/106229.jpg,Spring 2020,Action Adventure Mystery Drama Fantasy,1342
Koutetsujou no Kabaneri,12,https://myanimelist.net/anime/28623/Koutetsujou_no_Kabaneri,https://cdn.myanimelist.net/images/anime/12/79164.jpg,Spring 2016,Action Horror Supernatural Drama Fantasy,2654
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",12,https://myanimelist.net/anime/28907/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri,https://cdn.myanimelist.net/images/anime/8/76222.jpg,Summer 2015,Action Adventure Fantasy Military,1026
High School DxD BorN,12,https://myanimelist.net/anime/24703/High_School_DxD_BorN,https://cdn.myanimelist.net/images/anime/12/73642.jpg,Spring 2015,Action Comedy Demons Ecchi Harem Romance School,1806
K,13,https://myanimelist.net/anime/14467/K,https://cdn.myanimelist.net/images/anime/3/47607.jpg,Fall 2012,Action Mystery SuperPower Supernatural,1718
InuYasha,167,https://myanimelist.net/anime/249/InuYasha,https://cdn.myanimelist.net/images/anime/1589/95329.jpg,Fall 2000,Action Adventure Comedy Historical Demons Supernatural Magic Romance Fantasy Shounen,769
Boruto: Naruto Next Generations,?,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations,https://cdn.myanimelist.net/images/anime/9/84460.jpg,Spring 2017,Action Adventure SuperPower MartialArts Shounen,9095
Overlord III,13,https://myanimelist.net/anime/37675/Overlord_III,https://cdn.myanimelist.net/images/anime/1511/93473.jpg,Summer 2018,Action Game Supernatural Magic Fantasy,660
Akira,1,https://myanimelist.net/anime/47/Akira,https://cdn.myanimelist.net/images/anime/2/82596.jpg,OVA ONA SPECIAL,Action Military Sci-Fi Adventure Horror Supernatural Seinen,347
The God of High School,13,https://myanimelist.net/anime/41353/The_God_of_High_School,https://cdn.myanimelist.net/images/anime/1722/107269.jpg,Summer 2020,Action Sci-Fi Adventure Comedy Supernatural MartialArts Fantasy,3509
Dragon Ball Super,131,https://myanimelist.net/anime/30694/Dragon_Ball_Super,https://cdn.myanimelist.net/images/anime/7/74606.jpg,Summer 2015,Action Adventure Comedy SuperPower MartialArts Fantasy Shounen,1945
Accel World,24,https://myanimelist.net/anime/11759/Accel_World,https://cdn.myanimelist.net/images/anime/8/38155.jpg,Spring 2012,Action Game Sci-Fi Romance School,2531
Owari no Seraph: Nagoya Kessen-hen,12,https://myanimelist.net/anime/28927/Owari_no_Seraph__Nagoya_Kessen-hen,https://cdn.myanimelist.net/images/anime/9/76632.jpg,Fall 2015,Action Military Supernatural Drama Vampire Shounen,1209
Tokyo Ghoul:re 2nd Season,12,https://myanimelist.net/anime/37799/Tokyo_Ghoul_re_2nd_Season,https://cdn.myanimelist.net/images/anime/1271/95623.jpg,Fall 2018,Action Drama Horror Mystery Psychological Seinen Supernatural,6756
Ao no Exorcist: Kyoto Fujouou-hen,12,https://myanimelist.net/anime/33506/Ao_no_Exorcist__Kyoto_Fujouou-hen,https://cdn.myanimelist.net/images/anime/5/85201.jpg,Winter 2017,Action Demons Supernatural Fantasy Shounen,1992
Trigun,26,https://myanimelist.net/anime/6/Trigun,https://cdn.myanimelist.net/images/anime/7/20310.jpg,Spring 1998,Action Sci-Fi Adventure Comedy Drama Shounen,278
D.Gray-man,103,https://myanimelist.net/anime/1482/DGray-man,https://cdn.myanimelist.net/images/anime/13/75194.jpg,Fall 2006,Action Adventure Comedy SuperPower Demons Shounen,499
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,12,https://myanimelist.net/anime/37347/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II,https://cdn.myanimelist.net/images/anime/1730/101329.jpg,Summer 2019,Action Adventure Comedy Romance Fantasy,2747
Bungou Stray Dogs 2nd Season,12,https://myanimelist.net/anime/32867/Bungou_Stray_Dogs_2nd_Season,https://cdn.myanimelist.net/images/anime/5/88585.jpg,Fall 2016,Action Mystery SuperPower Supernatural Seinen,313
Hai to Gensou no Grimgar,12,https://myanimelist.net/anime/31859/Hai_to_Gensou_no_Grimgar,https://cdn.myanimelist.net/images/anime/13/77976.jpg,Winter 2016,Action Adventure Drama Fantasy,1129
Hellsing,13,https://myanimelist.net/anime/270/Hellsing,https://cdn.myanimelist.net/images/anime/10/19956.jpg,Fall 2001,Action Horror Supernatural Vampire Seinen,1654
Tokyo Revengers,24,https://myanimelist.net/anime/42249/Tokyo_Revengers,https://cdn.myanimelist.net/images/anime/1884/114790.jpg,Spring 2021,Action Supernatural Drama School Shounen,252
Banana Fish,24,https://myanimelist.net/anime/36649/Banana_Fish,https://cdn.myanimelist.net/images/anime/1190/93472.jpg,Summer 2018,Action Adventure Drama Shoujo,101
Blood Lad,10,https://myanimelist.net/anime/11633/Blood_Lad,https://cdn.myanimelist.net/images/anime/11/47677.jpg,Summer 2013,Action Comedy Demons Seinen Supernatural Vampire,2377
Sword Art Online Movie: Ordinal Scale,1,https://myanimelist.net/anime/31765/Sword_Art_Online_Movie__Ordinal_Scale,https://cdn.myanimelist.net/images/anime/4/83811.jpg,OVA ONA SPECIAL,Action Game Adventure Romance Fantasy,1321
Claymore,26,https://myanimelist.net/anime/1818/Claymore,https://cdn.myanimelist.net/images/anime/3/21834.jpg,Spring 2007,Action Adventure SuperPower Demons Supernatural Fantasy Shounen,912
Nanatsu no Taizai: Seisen no Shirushi,4,https://myanimelist.net/anime/31722/Nanatsu_no_Taizai__Seisen_no_Shirushi,https://cdn.myanimelist.net/images/anime/13/79331.jpg,Summer 2016,Action Adventure Supernatural Magic Fantasy Shounen,3591
Tensei shitara Slime Datta Ken 2nd Season,12,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season,https://cdn.myanimelist.net/images/anime/1271/109841.jpg,Winter 2021,Action Adventure Comedy Demons Magic Fantasy,148
